ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason,hypothesis_id,priority,use_type,suggested_response,preferred_entry_mode,preferred_hold_days,backtest_avg_score_pct,backtest_hit_rate,risk_note,match_quality,required_flow_category
034730,SK,2026-06-24,2026_Q2,변동성 장세,up,0.99290780141843,712000.0,212978216000.0,134542461508.63158,거래대금평균상회,수급엇갈림,-35247.0,70746.0,-30409.0,DART공시동반,5,2026-06-24 특수관계인에대한출자 / 2026-06-24 특수관계인에대한부동산임대 / 2026-06-24 특수관계인으로부터부동산임차,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
010120,LS ELECTRIC,2026-06-24,2026_Q2,변동성 장세,down,-3.440860215053765,224500.0,210176650250.0,312495276336.3509,거래대금약함,외국인기관동반매도,-57309.0,-19710.0,51986.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
298040,효성중공업,2026-06-24,2026_Q2,변동성 장세,down,-7.273230088495575,3353000.0,202018029000.0,208964032951.4035,거래대금약함,외국인기관동반매수,10411.0,832.0,-12031.0,DART공시동반,4,2026-06-23 단일판매ㆍ공급계약체결               / 2026-06-23 투자판단관련주요경영사항               / 2026-06-22 기업설명회(IR)개최(안내공시)              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
403870,HPSP,2026-06-24,2026_Q2,변동성 장세,down,-4.528301886792452,50600.0,201177363400.0,276283016578.0702,거래대금약함,수급엇갈림,483941.0,-1460065.0,967742.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
267260,HD현대일렉트릭,2026-06-24,2026_Q2,변동성 장세,down,-1.264488935721808,937000.0,199102498000.0,211732116503.193,거래대금약함,수급엇갈림,41247.0,-52629.0,10826.0,DART공시동반,1,2026-06-22 사외이사의선임ㆍ해임또는중도퇴임에관한신고,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
012450,한화에어로스페이스,2026-06-24,2026_Q2,변동성 장세,up,1.9571295433364444,1094000.0,190648369500.0,299168534732.0351,거래대금약함,외국인기관동반매수,7541.0,23314.0,-30728.0,DART공시동반,1,2026-06-24 동일인등출자계열회사와의상품ㆍ용역거래,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
356680,엑스게이트,2026-06-24,2026_Q2,변동성 장세,up,13.50939563230067,22350.0,169354121420.0,60874368108.68421,거래대금급증,외국인기관동반매도,-33990.0,-1149.0,10925.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
329180,HD현대중공업,2026-06-24,2026_Q2,변동성 장세,down,-0.170068027210879,587000.0,159298267500.0,326393107105.9825,거래대금약함,수급엇갈림,323181.0,-294600.0,-22508.0,DART공시동반,1,2026-06-19 풍문또는보도에대한해명(미확정)              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
000270,기아,2026-06-24,2026_Q2,변동성 장세,up,1.091703056768556,138900.0,157590812250.0,232345474816.7544,거래대금약함,외국인기관동반매도,-326323.0,-300035.0,599321.0,DART공시동반,1,2026-06-22 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
047040,대우건설,2026-06-24,2026_Q2,변동성 장세,up,0.5159958720330149,19480.0,157379115625.0,682811754076.4912,거래대금약함,수급엇갈림,2218053.0,-197577.0,-1948124.0,DART공시동반,1,2026-06-19 소송등의판결ㆍ결정(일정금액이상의청구)              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
000810,삼성화재,2026-06-24,2026_Q2,변동성 장세,down,-1.5479876160990669,636000.0,152378833500.0,104326811794.26315,거래대금평균상회,수급엇갈림,5258.0,-38.0,-4899.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
240810,원익IPS,2026-06-24,2026_Q2,변동성 장세,up,0.3331112591605567,150600.0,152222317700.0,133293255656.14035,거래대금평균상회,수급엇갈림,-28311.0,339944.0,-314300.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
320000,한울반도체,2026-06-24,2026_Q2,변동성 장세,down,-11.853448275862066,20450.0,111886570840.0,15748543372.85965,거래대금급증,수급엇갈림,17967.0,-3.0,180221.0,DART공시동반,1,2026-06-24 주식등의대량보유상황보고서(일반),직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
006340,대원전선,2026-06-24,2026_Q2,변동성 장세,up,4.485981308411224,11180.0,102501741840.0,205971198335.0702,거래대금약함,수급엇갈림,98496.0,-38288.0,-133675.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
440110,파두,2026-06-24,2026_Q2,변동성 장세,down,-3.897550111358572,86300.0,133846185400.0,130219917712.7193,거래대금평균상회,수급엇갈림,622922.0,-457227.0,-174292.0,DART공시동반,2,2026-06-23 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-06-23 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
042660,한화오션,2026-06-24,2026_Q2,변동성 장세,up,1.4354066985645897,106000.0,140003078600.0,250688547596.49124,거래대금약함,외국인기관동반매도,-914821.0,-704381.0,1573669.0,DART공시동반,4,2026-06-23 주식등의대량보유상황보고서(약식) / 2026-06-22 동일인등출자계열회사와의상품ㆍ용역거래 / 2026-06-22 약관에의한금융거래시계열금융회사의거래상대방의공시,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
067290,JW신약,2026-06-24,2026_Q2,변동성 장세,down,-15.297906602254429,2630.0,68708715362.0,16653819069.105263,거래대금급증,외국인기관동반매도,-351793.0,-1970.0,354369.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
000150,두산,2026-06-24,2026_Q2,변동성 장세,up,0.9144350097975096,1545000.0,147434211500.0,157946321078.49124,거래대금약함,수급엇갈림,62087.0,-23724.0,-37831.0,DART공시동반,2,2026-06-23 특수관계인과의내부거래 / 2026-06-23 특수관계인에대한출자,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
006800,미래에셋증권,2026-06-24,2026_Q2,변동성 장세,down,-0.9489916963226541,41750.0,143645588650.0,245188207841.22806,거래대금약함,수급엇갈림,3942415.0,-514961.0,-3354950.0,DART공시동반,28,2026-06-24 증권발행실적보고서 / 2026-06-24 투자설명서(일괄신고) / 2026-06-24 일괄신고추가서류(파생결합사채-주가연계파생결합사채),직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
067310,하나마이크론,2026-06-24,2026_Q2,변동성 장세,down,-2.8197381671701938,48250.0,104017360800.0,111340817425.8772,거래대금약함,외국인기관동반매수,173489.0,276972.0,-393580.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
064400,LG씨엔에스,2026-06-24,2026_Q2,변동성 장세,down,-0.8750000000000036,79300.0,65976093450.0,191862078485.0877,거래대금약함,외국인기관동반매도,-126002.0,-154611.0,287345.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
004710,한솔테크닉스,2026-06-24,2026_Q2,변동성 장세,down,-8.54700854700855,11770.0,25839969695.0,28172896190.45614,거래대금약함,외국인기관동반매수,152948.0,293277.0,-439506.0,DART공시동반,4,2026-06-22 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-06-22 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-06-22 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
000990,DB하이텍,2026-06-24,2026_Q2,변동성 장세,up,0.8603573792190566,152400.0,115579262250.0,115635515840.35088,거래대금약함,수급엇갈림,-61634.0,611139.0,-552017.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
319660,피에스케이,2026-06-24,2026_Q2,변동성 장세,up,6.261740763932377,169700.0,85410402350.0,59603384644.070175,거래대금평균상회,수급엇갈림,-60102.0,218010.0,-159638.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
014950,삼익제약,2026-06-24,2026_Q2,변동성 장세,up,13.907284768211925,8600.0,84391742630.0,8603453315.701754,거래대금급증,수급엇갈림,66909.0,-163325.0,95708.0,주변공시부재,0,,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
373220,LG에너지솔루션,2026-06-24,2026_Q2,변동성 장세,up,0.966850828729271,365500.0,127729446000.0,219637308313.85965,거래대금약함,수급엇갈림,192194.0,-218215.0,130207.0,주변공시부재,0,,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
