rank,feature,description,direction,ic,mean_diff,score,sample_n,interpretation
1,price_vs_ma240,종가 vs MA240 비율,1,-0.1493191705067368,-0.13400528671606055,0.6281826300173831,763,강한 예측력
2,stoch_k,스토캐스틱 %K,-1,0.025020092266829226,1.9019557313622713,0.5005366913648924,1620,약한 예측력
3,rsi,RSI(14),-1,-0.021697686108080667,-1.5309803569609315,0.4091667013571325,1620,약한 예측력
4,fib_support,피보나치 지지선 근처,1,-0.09253075586902335,-0.1123468945032206,0.39543827813388405,1620,유의미
5,price_vs_ma60,종가 vs MA60 비율,1,-0.06712576196248428,-0.03971830508767048,0.27808045347649785,1620,유의미
6,bb_position,볼린저밴드 위치 (종가/상단),1,0.04764951558542623,0.002953353940191472,0.192088224743158,1620,약한 예측력
7,macd_cross_up,MACD 골든크로스,1,0.03862999780316495,0.017212895904949437,0.15884457548566502,1620,약한 예측력
8,macd_hist_norm,MACD 히스토그램 (종가 정규화),1,0.03617313871210062,-0.0002561335902396511,0.14540615643054386,1620,약한 예측력
9,ma_align_short,단기 정배열 (MA5>MA20>MA60),1,-0.0256189231299812,-0.0394152788439075,0.11123235730711581,1620,약한 예측력
10,obv_rising,OBV 상승 추세,1,0.024360886411870928,0.02677468878283218,0.10351882563025838,1620,약한 예측력
11,ma_align_long,장기 정배열 (MA60>MA120>MA240),1,0.023345386757016764,0.004893617021276608,0.09483650145315245,763,약한 예측력
12,bb_squeeze,볼린저밴드 수축,0,-0.01182663171055631,-0.03042919600841032,0.05392178297391228,1620,노이즈 수준
13,vol_ratio,거래량 / 20일 평균,1,0.005901735678632664,0.048217680477462777,0.033855232476557744,1620,노이즈 수준
14,price_vs_ma5,종가 vs MA5 비율,1,-0.008113336967062392,-0.0008216032193234816,0.03277411204561381,1620,노이즈 수준
15,price_vs_ma20,종가 vs MA20 비율,1,-0.0022405030166311292,-0.013204752852274659,0.01177996430589965,1620,노이즈 수준
16,price_vs_ma120,종가 vs MA120 비율,1,0.0001596117906587374,-0.0016819458001665483,0.000995087947036656,1427,노이즈 수준
