rank,feature,description,direction,ic,mean_diff,score,sample_n,interpretation
1,price_vs_ma120,종가 vs MA120 비율,1,0.14562446898895498,0.25147476330726865,0.6291839044256622,429,강한 예측력
2,bb_position,볼린저밴드 위치 (종가/상단),1,-0.14783187761157615,-0.09170679207034926,0.6139098467881285,439,강한 예측력
3,price_vs_ma60,종가 vs MA60 비율,1,0.11865087357489142,0.08748822503945775,0.49483407913959315,439,강한 예측력
4,stoch_k,스토캐스틱 %K,-1,-0.012122394957008838,-2.6371761951718184,0.4492007345893018,439,노이즈 수준
5,rsi,RSI(14),-1,0.07429904353190926,0.6909151526426598,0.40635110004201497,439,유의미
6,ma_align_short,단기 정배열 (MA5>MA20>MA60),1,0.09037724637252297,0.04706894432837655,0.37395021993950484,439,유의미
7,macd_hist_norm,MACD 히스토그램 (종가 정규화),1,-0.0893582437159059,-0.008393230417132838,0.3639481986783913,439,유의미
8,fib_support,피보나치 지지선 근처,1,-0.06665939954445778,-0.04276760476834213,0.27703502002578745,439,유의미
9,macd_cross_up,MACD 골든크로스,1,-0.05818681163611117,-0.05321371512842571,0.24423206664014005,439,유의미
10,obv_rising,OBV 상승 추세,1,0.05655573424331883,0.07828437999262627,0.24141472364972455,439,유의미
11,price_vs_ma5,종가 vs MA5 비율,1,-0.052778182604736774,-0.06591471402686605,0.2242067101162465,439,유의미
12,price_vs_ma20,종가 vs MA20 비율,1,0.041839826164411925,-0.08945344273783187,0.1833818835869393,439,약한 예측력
13,vol_ratio,거래량 / 20일 평균,1,-0.020852206543749644,-0.02818083649678038,0.08890650704799637,435,약한 예측력
14,bb_squeeze,볼린저밴드 수축,0,0.0037469311207068857,0.04067838269632551,0.021377527367035347,439,노이즈 수준
15,price_vs_ma240,종가 vs MA240 비율,1,,,,13,노이즈 수준
16,ma_align_long,장기 정배열 (MA60>MA120>MA240),1,,,,13,노이즈 수준
