feature,description,up_mean,up_std,up_n,down_mean,down_std,down_n,mean_diff,diff_abs
rsi,RSI(14),58.66015652623777,13.209024234925057,236,67.8097199498993,14.003269706941987,60,-9.149563423661533,9.149563423661533
stoch_k,스토캐스틱 %K,58.79290249936129,28.63883389805479,236,67.06193951797125,25.002582798919708,60,-8.269037018609964,8.269037018609964
ma_align_short,단기 정배열 (MA5>MA20>MA60),0.4703389830508475,0.5001802776334043,236,0.7666666666666667,0.42652186808509857,60,-0.29632768361581924,0.29632768361581924
obv_rising,OBV 상승 추세,0.6228813559322034,0.4856951179143282,236,0.8833333333333333,0.32373177151309335,60,-0.2604519774011299,0.2604519774011299
bb_squeeze,볼린저밴드 수축,0.5932203389830508,0.49227717733939924,236,0.3333333333333333,0.4753826885415284,60,0.2598870056497175,0.2598870056497175
price_vs_ma120,종가 vs MA120 비율,0.3634912715216865,0.3753330667805439,142,0.6055003520007649,0.38078989623401927,49,-0.24200908047907843,0.24200908047907843
vol_ratio,거래량 / 20일 평균,0.9473179332536537,0.4486714377145211,236,1.116127908397327,0.6675596208313433,58,-0.16880997514367335,0.16880997514367335
price_vs_ma60,종가 vs MA60 비율,0.1708221977063324,0.2351925511569763,236,0.30561574377144446,0.33459832300102793,60,-0.13479354606511207,0.13479354606511207
price_vs_ma20,종가 vs MA20 비율,0.048353439675945395,0.09557998371088597,236,0.1351316986618113,0.19910010746247433,60,-0.0867782589858659,0.0867782589858659
fib_support,피보나치 지지선 근처,0.3855932203389831,0.48776963933830847,236,0.31666666666666665,0.46910179830729837,60,0.06892655367231643,0.06892655367231643
macd_cross_up,MACD 골든크로스,0.025423728813559324,0.1577428236506207,236,0.06666666666666667,0.2515488742932317,60,-0.04124293785310734,0.04124293785310734
price_vs_ma5,종가 vs MA5 비율,0.008234455412283894,0.028998328340727866,236,0.028090036245115236,0.048362910539623515,60,-0.019855580832831343,0.019855580832831343
macd_hist_norm,MACD 히스토그램 (종가 정규화),0.0006324337297806148,0.011785576991837996,236,0.00655815266281882,0.0190603080083864,60,-0.005925718933038206,0.005925718933038206
bb_position,볼린저밴드 위치 (종가/상단),0.9353027279349257,0.0632699862392549,236,0.9311098518622681,0.09584776582490762,60,0.004192876072657614,0.004192876072657614
price_vs_ma240,종가 vs MA240 비율,,,0,,,0,,
ma_align_long,장기 정배열 (MA60>MA120>MA240),,,0,,,0,,
