strategy,total_invested,final_value,total_return_pct,cagr_pct,mdd_pct,sharpe,period
asset_alloc_3mo,10000000,12425089.0,24.25,8.22,-17.18,0.595,2021-06-01 ~ 2024-12-31
bah_multi,10000000,12533978.0,25.34,7.96,-18.39,0.573,2021-06-01 ~ 2024-12-31
