selection_date,selection_rule,selection_rank,ticker,name,market,security_type,market_cap,avg_value_20d,history_days,suspended,eligible,selected,exclusion_reason
2024-12-31,KOSPI/KOSDAQ common stocks by market cap with quality filters,1,005930,삼성전자,KOSPI,COMMON,317592431660000.0,1045957741244.3,1477,False,True,True,
2024-12-31,KOSPI/KOSDAQ common stocks by market cap with quality filters,2,000660,SK하이닉스,KOSPI,COMMON,126599611273500.0,607008524106.3,1477,False,True,True,
2024-12-31,KOSPI/KOSDAQ common stocks by market cap with quality filters,3,207940,삼성바이오로직스,KOSPI,COMMON,67544126000000.0,65453424522.9,1477,False,True,True,
2024-12-31,KOSPI/KOSDAQ common stocks by market cap with quality filters,4,005380,현대차,KOSPI,COMMON,44396232492000.0,122445199251.25,1477,False,True,True,
2024-12-31,KOSPI/KOSDAQ common stocks by market cap with quality filters,5,068270,셀트리온,KOSPI,COMMON,40702228875000.0,174119927038.1,1477,False,True,True,
2024-12-31,KOSPI/KOSDAQ common stocks by market cap with quality filters,6,000270,기아,KOSPI,COMMON,40045634042400.0,110215806832.4,1477,False,True,True,
2024-12-31,KOSPI/KOSDAQ common stocks by market cap with quality filters,7,105560,KB금융,KOSPI,COMMON,32623506266700.0,179317359713.1,1477,False,True,True,
2024-12-31,KOSPI/KOSDAQ common stocks by market cap with quality filters,8,035420,NAVER,KOSPI,COMMON,31513120891200.0,221059776978.25,1477,False,True,True,
2024-12-31,KOSPI/KOSDAQ common stocks by market cap with quality filters,9,055550,신한지주,KOSPI,COMMON,23989169736250.0,80928720059.4,1477,False,True,True,
2024-12-31,KOSPI/KOSDAQ common stocks by market cap with quality filters,10,012330,현대모비스,KOSPI,COMMON,21993339731000.0,47040077061.5,1477,False,True,True,
