hypothesis_id,use_type,sample_count,completed_count,positive_label_count,negative_label_count,neutral_label_count,result_label_distribution,next_close_count,next_close_avg_return_pct,next_close_median_return_pct,next_close_positive_rate_pct,d_plus_5_count,d_plus_5_avg_return_pct,d_plus_5_median_return_pct,d_plus_5_positive_rate_pct,d_plus_10_count,d_plus_10_avg_return_pct,d_plus_10_median_return_pct,d_plus_10_positive_rate_pct,d_plus_20_count,d_plus_20_avg_return_pct,d_plus_20_median_return_pct,d_plus_20_positive_rate_pct,result_status
H01,매수 후보,32,32,7,25,0,"상승 실패 25, 상승 유지 4, 상승 지속 3",32,-1.69,-1.34,31.2,32,-1.83,1.29,56.2,32,-12.66,-13.05,15.6,32,-17.51,-19.83,21.9,검토 가능
H02,반등 감시 후보,79,79,9,62,8,"반등 실패 62, 반등 중립 8, 반등 성공 7, 단기 반등 2",79,-2.77,-3.12,31.6,79,-6.48,-7.13,24.1,79,-12.08,-12.85,19.0,79,-21.11,-23.01,11.4,검토 가능
