signal_date,pattern_id,pattern_name,category,prediction_direction,confidence,basis,open,high,low,close,volume,trade_amount,ticker,name
2025-09-30,bearish_separating_line,하락 갈림길형,추세 지속형,down,65,같은 시가 부근에서 음봉 전환,84600.0,84900.0,83400.0,83900.0,16319061.0,1371831147850.0,005930,삼성전자
2025-09-30,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,84600.0,84900.0,83400.0,83900.0,16319061.0,1371831147850.0,005930,삼성전자
2025-10-02,bearish_kicker,하락 키커,추세 반전형,down,80,장대 양봉 뒤 하락 갭 장대 음봉,89300.0,90300.0,88700.0,89000.0,49883028.0,4472131514922.0,005930,삼성전자
2025-10-02,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,89300.0,90300.0,88700.0,89000.0,49883028.0,4472131514922.0,005930,삼성전자
2025-10-02,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,89300.0,90300.0,88700.0,89000.0,49883028.0,4472131514922.0,005930,삼성전자
2025-10-10,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,94000.0,94500.0,92700.0,94400.0,35269748.0,3311084659050.0,005930,삼성전자
2025-10-13,three_outside_up,쓰리 아웃사이드 업,추세 반전형,up,82,상승 장악형 뒤 추가 상승 확인,91300.0,93400.0,90700.0,93300.0,23883308.0,2197370665497.0,005930,삼성전자
2025-10-13,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,91300.0,93400.0,90700.0,93300.0,23883308.0,2197370665497.0,005930,삼성전자
2025-10-14,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,95300.0,96000.0,90200.0,91600.0,35545235.0,3312011003250.0,005930,삼성전자
2025-10-14,bearish_dark_cloud,흑운형,추세 반전형,down,72,전일 양봉 중간 아래로 밀림,95300.0,96000.0,90200.0,91600.0,35545235.0,3312011003250.0,005930,삼성전자
2025-10-14,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,95300.0,96000.0,90200.0,91600.0,35545235.0,3312011003250.0,005930,삼성전자
2025-10-14,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,95300.0,96000.0,90200.0,91600.0,35545235.0,3312011003250.0,005930,삼성전자
