date,total_value,shares_069500,open_069500,weight_069500,shares_360750,open_360750,weight_360750
2022-04-01,10000000.0,148.350344,33704.0,50.0,379.132545,13188.0,50.0
2023-04-03,9418429.0,153.900926,30599.0,50.0,365.934762,12869.0,50.0
2024-04-01,12001263.0,164.225388,36539.0,50.0,344.29006,17429.0,50.0
2024-07-01,12446904.0,167.901908,37066.0,50.0,336.912739,18472.0,50.0
2024-10-02,11766511.0,177.677449,33112.0,50.0,319.342978,18423.0,50.0
