signal_date,ticker,name,condition_id,matched_conditions,foreign_net_buy_streak,foreign_qty,foreign_net_buy_2d_qty,foreign_net_buy_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-07-02,028260,삼성물산,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,110956,219489,151034,14.82,406500,2026-07-03,405500,-0.25,433500,6.64,378500,-6.89,,,,,하락 전환,"D+1(2026-07-03) 시가 -0.25%, 종가 +6.64%; D+5 -6.89%"
2026-07-02,012330,현대모비스,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",2,11672,12790,-9969,1.97,492000,2026-07-03,487500,-0.91,494000,0.41,465000,-5.49,,,,,하락 전환,"D+1(2026-07-03) 시가 -0.91%, 종가 +0.41%; D+5 -5.49%"
2026-07-02,403870,HPSP,foreign_buy_streak_5,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",5,108247,1285743,1725808,1.75,43700,2026-07-03,44000,0.69,48500,10.98,39300,-10.07,,,,,하락 전환,"D+1(2026-07-03) 시가 +0.69%, 종가 +10.98%; D+5 -10.07%"
2026-07-02,035420,NAVER,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,178765,281564,187931,15.38,199900,2026-07-03,199900,0.00,195800,-2.05,184400,-7.75,,,,,하락 전환,"D+1(2026-07-03) 시가 +0.00%, 종가 -2.05%; D+5 -7.75%"
2026-07-02,011070,LG이노텍,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,36206,55823,83800,14.30,874000,2026-07-03,889000,1.72,872000,-0.23,741000,-15.22,,,,,하락 전환,"D+1(2026-07-03) 시가 +1.72%, 종가 -0.23%; D+5 -15.22%"
2026-07-02,058470,리노공업,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,1072405,2463041,2897948,41.35,75100,2026-07-03,74800,-0.40,78600,4.66,70000,-6.79,,,,,하락 전환,"D+1(2026-07-03) 시가 -0.40%, 종가 +4.66%; D+5 -6.79%"
2026-07-02,000270,기아,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,56594,181579,63856,4.30,145200,2026-07-03,146800,1.10,152000,4.68,144800,-0.28,,,,,보합,"D+1(2026-07-03) 시가 +1.10%, 종가 +4.68%; D+5 -0.28%"
2026-07-02,003490,대한항공,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,175077,242947,196061,2.66,28550,2026-07-03,28800,0.88,28850,1.05,26700,-6.48,,,,,하락 전환,"D+1(2026-07-03) 시가 +0.88%, 종가 +1.05%; D+5 -6.48%"
2026-07-02,032830,삼성생명,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,24131,112770,109132,5.06,370500,2026-07-03,368500,-0.54,383000,3.37,326000,-12.01,,,,,하락 전환,"D+1(2026-07-03) 시가 -0.54%, 종가 +3.37%; D+5 -12.01%"
2026-07-02,039030,이오테크닉스,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,115577,285153,482717,32.86,384500,2026-07-03,385500,0.26,392500,2.08,342500,-10.92,,,,,하락 전환,"D+1(2026-07-03) 시가 +0.26%, 종가 +2.08%; D+5 -10.92%"
