signal_date,ticker,name,condition_id,matched_conditions,foreign_net_buy_streak,foreign_qty,foreign_net_buy_2d_qty,foreign_net_buy_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-07-27,095610,테스,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,40471,98667,308430,8.83,142100,2026-07-28,125300,-11.82,122100,-14.07,127200,-10.49,,,,,하락 전환,"D+1(2026-07-28) 시가 -11.82%, 종가 -14.07%; D+5 -10.49%"
2026-07-27,319660,피에스케이,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct",3,3479,165366,274855,0.85,146000,2026-07-28,134000,-8.22,125500,-14.04,125500,-14.04,,,,,하락 전환,"D+1(2026-07-28) 시가 -8.22%, 종가 -14.04%; D+5 -14.04%"
2026-07-27,119850,지엔씨에너지,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,310381,515245,662165,26.80,37400,2026-07-28,35750,-4.41,32000,-14.44,42000,12.30,,,,,상승 지속,"D+1(2026-07-28) 시가 -4.41%, 종가 -14.44%; D+5 +12.30%"
2026-07-27,222800,심텍,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,36204,157536,177648,10.03,92300,2026-07-28,84300,-8.67,75500,-18.20,87500,-5.20,,,,,하락 전환,"D+1(2026-07-28) 시가 -8.67%, 종가 -18.20%; D+5 -5.20%"
2026-07-27,067310,하나마이크론,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,156612,218604,221114,16.94,35200,2026-07-28,32850,-6.68,30050,-14.63,30150,-14.35,,,,,하락 전환,"D+1(2026-07-28) 시가 -6.68%, 종가 -14.63%; D+5 -14.35%"
2026-07-28,475150,SK이터닉스,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,643150,804296,1377,8.74,48700,2026-07-29,48800,0.21,43450,-10.78,55800,14.58,,,,,상승 지속,"D+1(2026-07-29) 시가 +0.21%, 종가 -10.78%; D+5 +14.58%"
2026-07-28,028260,삼성물산,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,73923,97966,125030,11.56,305000,2026-07-29,305500,0.16,285500,-6.39,322500,5.74,,,,,상승 지속,"D+1(2026-07-29) 시가 +0.16%, 종가 -6.39%; D+5 +5.74%"
2026-07-28,036930,주성엔지니어링,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,121626,152588,211482,11.50,128800,2026-07-29,129500,0.54,116100,-9.86,136000,5.59,,,,,상승 지속,"D+1(2026-07-29) 시가 +0.54%, 종가 -9.86%; D+5 +5.59%"
2026-07-28,080220,제주반도체,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,309680,368876,52988,20.02,62400,2026-07-29,63800,2.24,55100,-11.70,70000,12.18,,,,,상승 지속,"D+1(2026-07-29) 시가 +2.24%, 종가 -11.70%; D+5 +12.18%"
2026-07-28,240810,원익IPS,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,235916,244694,278553,23.09,89500,2026-07-29,90000,0.56,83200,-7.04,96500,7.82,,,,,상승 지속,"D+1(2026-07-29) 시가 +0.56%, 종가 -7.04%; D+5 +7.82%"
2026-07-28,095610,테스,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,144451,184922,243118,28.18,122100,2026-07-29,122400,0.25,114300,-6.39,132400,8.44,,,,,상승 지속,"D+1(2026-07-29) 시가 +0.25%, 종가 -6.39%; D+5 +8.44%"
2026-07-28,403870,HPSP,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all",2,4344,222211,-214636,0.23,32700,2026-07-29,32850,0.46,29650,-9.33,35400,8.26,,,,,상승 지속,"D+1(2026-07-29) 시가 +0.46%, 종가 -9.33%; D+5 +8.26%"
2026-07-28,440110,파두,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,451225,498638,549136,41.90,56300,2026-07-29,56600,0.53,50300,-10.66,61900,9.95,,,,,상승 지속,"D+1(2026-07-29) 시가 +0.53%, 종가 -10.66%; D+5 +9.95%"
2026-07-28,222800,심텍,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,385568,421772,543104,48.30,75500,2026-07-29,75500,0.00,68600,-9.14,97100,28.61,,,,,상승 지속,"D+1(2026-07-29) 시가 +0.00%, 종가 -9.14%; D+5 +28.61%"
2026-07-28,319660,피에스케이,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,229967,233446,395333,50.85,125500,2026-07-29,126400,0.72,114900,-8.45,126000,0.40,,,,,상승,"D+1(2026-07-29) 시가 +0.72%, 종가 -8.45%; D+5 +0.40%"
2026-07-28,067310,하나마이크론,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,550799,707411,769403,32.52,30050,2026-07-29,30300,0.83,26650,-11.31,31000,3.16,,,,,상승,"D+1(2026-07-29) 시가 +0.83%, 종가 -11.31%; D+5 +3.16%"
2026-07-28,044340,위닉스,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",2,98410,128340,34587,1.18,5290,2026-07-29,5300,0.19,4490,-15.12,5840,10.40,,,,,상승 지속,"D+1(2026-07-29) 시가 +0.19%, 종가 -15.12%; D+5 +10.40%"
2026-07-28,119850,지엔씨에너지,foreign_buy_streak_5,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",5,358181,668562,873426,29.16,32000,2026-07-29,32000,0.00,28600,-10.62,51200,60.00,,,,,상승 지속,"D+1(2026-07-29) 시가 +0.00%, 종가 -10.62%; D+5 +60.00%"
