signal_date,ticker,name,condition_id,matched_conditions,foreign_net_sell_streak,foreign_qty,foreign_net_sell_2d_qty,foreign_net_sell_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-05-18,000270,기아,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-62899,-410028,-619782,4.60,162500,2026-05-19,161700,-0.49,154900,-4.68,167000,2.77,168800,3.88,166300,2.34,상승,"D+1(2026-05-19) 시가 -0.49%, 종가 -4.68%; D+5 +2.77%; D+10 +3.88%; D+20 +2.34%"
2026-05-18,011070,LG이노텍,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",5,-35033,-70630,-123248,11.69,760000,2026-05-19,799000,5.13,793000,4.34,1068000,40.53,1252000,64.74,1248000,64.21,상승 지속,"D+1(2026-05-19) 시가 +5.13%, 종가 +4.34%; D+5 +40.53%; D+10 +64.74%; D+20 +64.21%"
2026-05-18,012450,한화에어로스페이스,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-8211,-21342,-14320,4.70,1227000,2026-05-19,1254000,2.20,1286000,4.81,1251000,1.96,1070000,-12.80,1224000,-0.24,보합,"D+1(2026-05-19) 시가 +2.20%, 종가 +4.81%; D+5 +1.96%; D+10 -12.80%; D+20 -0.24%"
2026-05-18,298040,효성중공업,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-4789,-5654,-20490,8.42,3730000,2026-05-19,3751000,0.56,3580000,-4.02,3834000,2.79,3544000,-4.99,3855000,3.35,상승,"D+1(2026-05-19) 시가 +0.56%, 종가 -4.02%; D+5 +2.79%; D+10 -4.99%; D+20 +3.35%"
2026-05-18,064400,LG씨엔에스,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-360954,-835365,-418428,14.56,81300,2026-05-19,79600,-2.09,74800,-8.00,82900,1.97,135700,66.91,92400,13.65,상승 지속,"D+1(2026-05-19) 시가 -2.09%, 종가 -8.00%; D+5 +1.97%; D+10 +66.91%; D+20 +13.65%"
2026-05-18,196170,알테오젠,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-66312,-144912,67524,13.52,357500,2026-05-19,360000,0.70,366500,2.52,365500,2.24,357000,-0.14,373000,4.34,상승,"D+1(2026-05-19) 시가 +0.70%, 종가 +2.52%; D+5 +2.24%; D+10 -0.14%; D+20 +4.34%"
2026-05-18,247540,에코프로비엠,foreign_sell_streak_6,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",6,-47809,-109547,-144848,8.28,190400,2026-05-19,192000,0.84,182400,-4.20,220000,15.55,198000,3.99,180000,-5.46,하락 전환,"D+1(2026-05-19) 시가 +0.84%, 종가 -4.20%; D+5 +15.55%; D+10 +3.99%; D+20 -5.46%"
2026-05-18,058470,리노공업,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-24305,-27822,-265388,3.08,101000,2026-05-19,101000,0.00,96100,-4.85,110800,9.70,92800,-8.12,94700,-6.24,하락 전환,"D+1(2026-05-19) 시가 +0.00%, 종가 -4.85%; D+5 +9.70%; D+10 -8.12%; D+20 -6.24%"
2026-05-19,005930,삼성전자,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-9263047,-13749140,-22604881,30.11,275500,2026-05-20,278000,0.91,276000,0.18,307000,11.43,351500,27.59,362500,31.58,상승 지속,"D+1(2026-05-20) 시가 +0.91%, 종가 +0.18%; D+5 +11.43%; D+10 +27.59%; D+20 +31.58%"
2026-05-19,000660,SK하이닉스,foreign_sell_streak_9,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",9,-1128221,-1687977,-3079950,24.66,1745000,2026-05-20,1743000,-0.11,1745000,0.00,2243000,28.54,2298000,31.69,2685000,53.87,상승 지속,"D+1(2026-05-20) 시가 -0.11%, 종가 +0.00%; D+5 +28.54%; D+10 +31.69%; D+20 +53.87%"
2026-05-19,005380,현대차,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-621315,-830521,-1115539,23.19,604000,2026-05-20,601000,-0.50,592000,-1.99,681000,12.75,700000,15.89,601000,-0.50,보합,"D+1(2026-05-20) 시가 -0.50%, 종가 -1.99%; D+5 +12.75%; D+10 +15.89%; D+20 -0.50%"
2026-05-19,009150,삼성전기,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-150669,-242154,-270375,17.08,987000,2026-05-20,968000,-1.93,1061000,7.50,1630000,65.15,1716000,73.86,2200000,122.90,상승 지속,"D+1(2026-05-20) 시가 -1.93%, 종가 +7.50%; D+5 +65.15%; D+10 +73.86%; D+20 +122.90%"
2026-05-19,402340,SK스퀘어,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-23403,-115083,-60296,3.15,1020000,2026-05-20,1064000,4.31,1029000,0.88,1276000,25.10,1361000,33.43,1700000,66.67,상승 지속,"D+1(2026-05-20) 시가 +4.31%, 종가 +0.88%; D+5 +25.10%; D+10 +33.43%; D+20 +66.67%"
2026-05-19,012330,현대모비스,foreign_sell_streak_9,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",9,-70650,-343776,-483430,7.78,525000,2026-05-20,532000,1.33,535000,1.90,688000,31.05,748000,42.48,603000,14.86,상승 지속,"D+1(2026-05-20) 시가 +1.33%, 종가 +1.90%; D+5 +31.05%; D+10 +42.48%; D+20 +14.86%"
2026-05-19,080220,제주반도체,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all",2,-8428,-199475,122626,0.18,95900,2026-05-20,97100,1.25,94800,-1.15,105100,9.59,107300,11.89,117700,22.73,상승 지속,"D+1(2026-05-20) 시가 +1.25%, 종가 -1.15%; D+5 +9.59%; D+10 +11.89%; D+20 +22.73%"
2026-05-19,042700,한미반도체,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",5,-117733,-550537,-651918,8.62,288000,2026-05-20,295000,2.43,287500,-0.17,319000,10.76,304000,5.56,315500,9.55,상승 지속,"D+1(2026-05-20) 시가 +2.43%, 종가 -0.17%; D+5 +10.76%; D+10 +5.56%; D+20 +9.55%"
2026-05-19,034020,두산에너빌리티,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",5,-498402,-882298,-1000060,13.64,106000,2026-05-20,106400,0.38,101300,-4.43,108500,2.36,99200,-6.42,99600,-6.04,하락 전환,"D+1(2026-05-20) 시가 +0.38%, 종가 -4.43%; D+5 +2.36%; D+10 -6.42%; D+20 -6.04%"
2026-05-19,010120,LS ELECTRIC,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-444253,-607814,-436035,31.44,243500,2026-05-20,240500,-1.23,238500,-2.05,261500,7.39,239500,-1.64,242000,-0.62,보합,"D+1(2026-05-20) 시가 -1.23%, 종가 -2.05%; D+5 +7.39%; D+10 -1.64%; D+20 -0.62%"
2026-05-19,011070,LG이노텍,foreign_sell_streak_6,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",6,-77755,-112788,-148385,18.20,793000,2026-05-20,776000,-2.14,760000,-4.16,1044000,31.65,1173000,47.92,1283000,61.79,상승 지속,"D+1(2026-05-20) 시가 -2.14%, 종가 -4.16%; D+5 +31.65%; D+10 +47.92%; D+20 +61.79%"
