ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason,hypothesis_id,priority,use_type,suggested_response,preferred_entry_mode,preferred_hold_days,backtest_avg_score_pct,backtest_hit_rate,risk_note,match_quality,required_flow_category,flow_category_recheck,foreign_5d_recheck,institution_5d_recheck,individual_5d_recheck,flow_recheck_error,flow_recheck_status,valuation_per,valuation_pbr,valuation_eps,valuation_ebitda,valuation_ev_ebitda,valuation_per_group,valuation_pbr_group,valuation_ev_ebitda_group,valuation_ev_ebitda_note,valuation_eps_status,valuation_profit_trend,valuation_profit_quality,valuation_class,valuation_trap_check,valuation_memo
007610,선도전기,2026-06-02,2026_Q2,변동성 장세,down,-6.50969529085873,6750.0,5057759405.0,39714282746.21429,거래대금약함,외국인기관동반매수,253928.0,948.0,-252912.0,DART공시동반,1,2026-06-01 기업지배구조보고서공시              ,직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수,외국인기관동반매수,253928.0,948.0,-252912.0,,confirmed,49.66,6.94,294.0,,,고PER,초고PBR,EV/EBITDA결측,EBITDA 결측 또는 비양수로 EV/EBITDA 비교 제한,EPS낮음,순이익불안정,이익체력주의,기대과열가능,이익 변동성,"EPS낮음, 고PER, 초고PBR, EV/EBITDA결측. 최근 순이익 방향은 순이익불안정이며 분류는 기대과열가능."
017900,광전자,2026-06-02,2026_Q2,변동성 장세,down,-7.2916666666666625,8900.0,24698195720.0,137694166489.61905,거래대금약함,외국인기관동반매수,556101.0,179.0,-575641.0,DART공시동반,1,2026-05-29 기업지배구조보고서공시              ,직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수,외국인기관동반매수,556101.0,179.0,-575641.0,,confirmed,187.67,2.86,73.0,60.0,2.54,초고PER,고PBR,낮은EV/EBITDA,영업현금창출력 대비 기업가치 부담 낮음,EPS낮음,순이익증가,이익체력보통,성장기대반영,특이 리스크 제한적,"EPS낮음, 초고PER, 고PBR, 낮은EV/EBITDA. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
027360,아주IB투자,2026-06-02,2026_Q2,변동성 장세,down,-9.154929577464788,10320.0,99149518632.0,222959167475.9524,거래대금약함,외국인기관동반매수,6498307.0,271401.0,-3058336.0,DART공시동반,2,2026-06-02 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-06-02 주식등의대량보유상황보고서(일반),직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수,외국인기관동반매수,6498307.0,271401.0,-3058336.0,,confirmed,232.17,7.19,69.0,140.0,25.87,초고PER,초고PBR,초고EV/EBITDA,영업현금창출력 대비 기업가치 부담 높음,EPS낮음,순이익증가,이익체력보통,성장기대반영,특이 리스크 제한적,"EPS낮음, 초고PER, 초고PBR, 초고EV/EBITDA. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
038500,삼표시멘트,2026-06-02,2026_Q2,변동성 장세,down,-1.334445371142623,11830.0,39892454350.0,63922217280.71429,거래대금약함,외국인기관동반매수,450532.0,944.0,-446296.0,DART공시동반,1,2026-05-29 대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수,외국인기관동반매수,450532.0,944.0,-446296.0,,confirmed,41.16,2.12,378.0,,,고PER,고PBR,EV/EBITDA결측,EBITDA 결측 또는 비양수로 EV/EBITDA 비교 제한,EPS낮음,순이익불안정,이익체력주의,기대과열가능,이익 변동성,"EPS낮음, 고PER, 고PBR, EV/EBITDA결측. 최근 순이익 방향은 순이익불안정이며 분류는 기대과열가능."
079550,LIG디펜스앤에어로스페이스,2026-06-02,2026_Q2,변동성 장세,down,-6.443298969072164,726000.0,163600073500.0,334503645831.3333,거래대금약함,외국인기관동반매수,64083.0,13982.0,-73621.0,DART공시동반,4,2026-06-01 [기재정정]대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)] / 2026-06-01 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-05-29 대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수,외국인기관동반매수,64083.0,13982.0,-73621.0,,confirmed,72.33,12.72,11516.0,,,초고PER,초고PBR,EV/EBITDA결측,EBITDA 결측 또는 비양수로 EV/EBITDA 비교 제한,EPS높음,순이익증가,이익체력양호,성장기대반영,부채비율 부담,"EPS높음, 초고PER, 초고PBR, EV/EBITDA결측. 최근 순이익 방향은 순이익증가이며 분류는 성장기대반영."
452260,한화갤러리아,2026-06-02,2026_Q2,변동성 장세,down,-4.663212435233167,2760.0,9105765482.0,32735950447.38095,거래대금약함,외국인기관동반매수,48224.0,71504.0,-3327.0,DART공시동반,2,2026-06-01 기업지배구조보고서공시               / 2026-05-29 대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],직접반응,,,ok,,True,,H02,1.0,반등 감시 후보,하락 이벤트 다음 거래일 반등 확인 후 단기 진입 검토,next_open,20.0,34.49202609522427,0.8333333333333334,외부 자료 확인 필요 이벤트가 많아 뉴스/업황 필터를 추가해야 자동화 가능,exact,외국인기관동반매수,외국인기관동반매수,48224.0,71504.0,-3327.0,,confirmed,197.06,0.8,17.0,,,초고PER,보통PBR,EV/EBITDA결측,EBITDA 결측 또는 비양수로 EV/EBITDA 비교 제한,EPS낮음,순이익불안정,이익체력취약,기대과열가능,"순손실, 이익 변동성","EPS낮음, 초고PER, 보통PBR, EV/EBITDA결측. 최근 순이익 방향은 순이익불안정이며 분류는 기대과열가능."
