ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason
356680,엑스게이트,2026-09-03,2026_Q3,미분류,down,-3.4977578475336335,10760.0,2946525400.0,10797142218.444445,거래대금약함,수급엇갈림,127853.0,-5401.0,-140362.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
320000,한울반도체,2026-09-03,2026_Q3,미분류,down,-4.091341579448149,10080.0,5739023400.0,7266691249.777778,거래대금약함,외국인기관동반매도,-11534.0,-4.0,10159.0,DART공시동반,2,"2026-09-01 [기재정정]주요사항보고서(유상증자결정) / 2026-08-31 전환가액의조정              (제3회차,제4회차)",직접반응,,,ok,,False,strategy_condition_not_matched
440110,파두,2026-09-03,2026_Q3,미분류,down,-2.070063694267521,61500.0,11615159500.0,39319422081.111115,거래대금약함,수급엇갈림,36176.0,-39846.0,-1112.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
004710,한솔테크닉스,2026-09-03,2026_Q3,미분류,up,12.005277044854878,8490.0,35494198960.0,7727586200.222222,거래대금급증,수급엇갈림,-186974.0,647284.0,-462487.0,DART공시동반,1,2026-09-03 주식등의대량보유상황보고서(약식),직접반응,,,ok,,False,strategy_condition_not_matched
014950,삼익제약,2026-09-03,2026_Q3,미분류,down,-5.025125628140703,5670.0,14904781430.0,7588629108.0,거래대금평균상회,외국인기관동반매도,-102339.0,-19354.0,117181.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
046970,우리로,2026-09-03,2026_Q3,미분류,down,-4.6464646464646435,4720.0,2659210689.0,4258630857.9555554,거래대금약함,외국인기관동반매도,-376278.0,-13652.0,396688.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
011790,SKC,2026-09-03,2026_Q3,미분류,up,0.3588516746411585,83900.0,5693617150.0,17062243810.0,거래대금약함,외국인기관동반매도,-12019.0,-27612.0,38971.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
122640,예스티,2026-09-03,2026_Q3,미분류,down,-0.5555555555555536,26850.0,7552701150.0,14289516873.11111,거래대금약함,수급엇갈림,-111504.0,206631.0,16560.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
043260,성호전자,2026-09-03,2026_Q3,미분류,down,-5.910735826296742,15600.0,14671171515.0,38666351340.111115,거래대금약함,외국인기관동반매도,-142085.0,-66720.0,207922.0,DART공시동반,5,2026-09-01 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-09-01 주식등의대량보유상황보고서(일반) / 2026-09-01 기타경영사항(자율공시)              (제14회차 무기명식 이권부 무보증 신주인수권부사채 소각 결정의 건),직접반응,,,ok,,False,strategy_condition_not_matched
204320,HL만도,2026-09-03,2026_Q3,미분류,up,0.6335797254487963,47650.0,14510666775.0,29290829506.11111,거래대금약함,외국인기관동반매도,-72038.0,-22079.0,86131.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
272210,한화시스템,2026-09-03,2026_Q3,미분류,up,1.6442451420029869,68000.0,15787827100.0,39367751140.0,거래대금약함,외국인기관동반매도,-43963.0,-222598.0,269691.0,DART공시동반,1,2026-08-31 대규모기업집단현황공시[분기별공시(개별회사용)],직접반응,,,ok,,False,strategy_condition_not_matched
085620,미래에셋생명,2026-09-03,2026_Q3,미분류,up,2.689486552567244,21000.0,4716317775.0,6442954081.888889,거래대금약함,수급엇갈림,-93435.0,20276.0,72243.0,DART공시동반,3,2026-09-03 최대주주등소유주식변동신고서               / 2026-08-31 대규모기업집단현황공시[분기별공시(개별회사용)] / 2026-08-31 [기재정정]반기보고서 (2026.06),직접반응,,,ok,,False,strategy_condition_not_matched
375500,DL이앤씨,2026-09-03,2026_Q3,미분류,up,3.571428571428581,72500.0,37393774000.0,22686654070.0,거래대금평균상회,외국인기관동반매도,-249978.0,-35.0,-205421.0,DART공시동반,4,2026-09-03 주식등의대량보유상황보고서(일반) / 2026-09-03 최대주주등소유주식변동신고서               / 2026-09-01 기업설명회(IR)개최(안내공시)              ,직접반응,,,ok,,False,strategy_condition_not_matched
100790,미래에셋벤처투자,2026-09-03,2026_Q3,미분류,down,-5.902306648575307,13870.0,6353192445.0,12060326132.333334,거래대금약함,외국인기관동반매도,-86424.0,-79162.0,157037.0,DART공시동반,1,2026-08-31 대규모기업집단현황공시[분기별공시(개별회사용)],직접반응,,,ok,,False,strategy_condition_not_matched
178320,서진시스템,2026-09-03,2026_Q3,미분류,down,-0.5988023952095856,33200.0,22376408100.0,43551434809.44444,거래대금약함,외국인기관동반매도,-436845.0,-425553.0,904836.0,DART공시동반,7,2026-09-01 증권발행결과(자율공시)              (제40회차 CB) / 2026-09-01 증권발행결과(자율공시)              (제39회차 CB) / 2026-09-01 [기재정정]주요사항보고서(자본으로인정되는채무증권발행결정),직접반응,,,ok,,False,strategy_condition_not_matched
279570,케이뱅크,2026-09-03,2026_Q3,미분류,up,0.17985611510791255,5570.0,2569920045.0,7192290370.777778,거래대금약함,외국인기관동반매도,-12905.0,-9109.0,20259.0,DART공시동반,2,2026-09-01 기타안내사항(안내공시)               / 2026-08-31 기업설명회(IR)개최(안내공시)              ,직접반응,,,ok,,False,strategy_condition_not_matched
098460,고영,2026-09-03,2026_Q3,미분류,down,-1.7825311942959,27550.0,15637677975.0,30958407541.666668,거래대금약함,수급엇갈림,301020.0,-330126.0,46530.0,주변공시부재,0,,직접반응,,,ok,,False,strategy_condition_not_matched
090360,로보스타,2026-09-03,2026_Q3,미분류,down,-3.042876901798064,70100.0,4607991400.0,12090886812.222221,거래대금약함,수급엇갈림,9369.0,-19658.0,10804.0,주변공시부재,0,,직접반응,,,ok,,False,strategy_condition_not_matched
457370,한켐,2026-09-03,2026_Q3,미분류,down,-9.626955475330924,7510.0,3220532730.0,8017187174.777778,거래대금약함,수급엇갈림,-34020.0,130.0,33890.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
003550,LG,2026-09-03,2026_Q3,미분류,down,-0.16877637130802148,118300.0,37107909550.0,35482614453.333336,거래대금평균상회,외국인기관동반매도,-129620.0,-63056.0,-118210.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
018880,한온시스템,2026-09-03,2026_Q3,미분류,up,2.643171806167399,3495.0,9612267301.0,15955398797.733334,거래대금약함,수급엇갈림,-748728.0,455488.0,350156.0,DART공시동반,1,2026-08-31 대규모기업집단현황공시[분기별공시(개별회사용)],직접반응,,,ok,,False,strategy_condition_not_matched
326030,SK바이오팜,2026-09-03,2026_Q3,미분류,up,0.11587485515642815,86400.0,10768942650.0,11561895835.555555,거래대금약함,외국인기관동반매도,-13854.0,-18017.0,31006.0,DART공시동반,3,2026-08-31 최대주주등소유주식변동신고서               / 2026-08-31 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-08-31 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched
