ticker,name,status,created_reports,missing_reports_after,listing_date,skipped_pre_listing,events_path,error,stock_info_error
439960,코스모로보틱스,skip_existing,0,0,2026-05-11,20,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\코스모로보틱스\코스모로보틱스_439960_events.jsonl,,
027360,아주IB투자,error,0,20,2018-11-21,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\아주IB투자\아주IB투자_027360_events.jsonl,"AttributeError(""'Timestamp' object has no attribute 'get'"")",
274090,켄코아에어로스페이스,error,0,20,2020-03-03,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\켄코아에어로스페이스\켄코아에어로스페이스_274090_events.jsonl,"AttributeError(""'Timestamp' object has no attribute 'get'"")",
066430,아이로보틱스,error,0,20,2002-12-24,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\아이로보틱스\아이로보틱스_066430_events.jsonl,"AttributeError(""'Timestamp' object has no attribute 'get'"")",
440110,파두,error,0,11,2023-08-07,9,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\파두\파두_440110_events.jsonl,"AttributeError(""'Timestamp' object has no attribute 'get'"")",
290690,소룩스,error,0,20,2020-11-06,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\소룩스\소룩스_290690_events.jsonl,"AttributeError(""'Timestamp' object has no attribute 'get'"")",
000500,가온전선,error,0,20,1987-06-08,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\가온전선\가온전선_000500_events.jsonl,"AttributeError(""'Timestamp' object has no attribute 'get'"")",
006260,LS,error,0,20,1977-06-30,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\LS\LS_006260_events.jsonl,"AttributeError(""'Timestamp' object has no attribute 'get'"")",
037460,삼지전자,error,0,20,1999-12-16,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\삼지전자\삼지전자_037460_events.jsonl,"AttributeError(""'Timestamp' object has no attribute 'get'"")",
487580,폴레드,skip_existing,0,0,2026-05-14,20,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\폴레드\폴레드_487580_events.jsonl,,
018880,한온시스템,skip_existing,0,0,1996-07-31,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\한온시스템\한온시스템_018880_events.jsonl,,
016360,삼성증권,skip_existing,0,0,1988-03-28,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\삼성증권\삼성증권_016360_events.jsonl,,
001510,SK증권,skip_existing,0,0,1986-09-20,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\SK증권\SK증권_001510_events.jsonl,,
006910,보성파워텍,skip_existing,0,0,1994-09-07,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\보성파워텍\보성파워텍_006910_events.jsonl,,
086520,에코프로,skip_existing,0,0,2007-07-20,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\에코프로\에코프로_086520_events.jsonl,,
267260,HD현대일렉트릭,skip_existing,0,0,2017-05-10,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\HD현대일렉트릭\HD현대일렉트릭_267260_events.jsonl,,
336260,두산퓨얼셀,skip_existing,0,0,2019-10-18,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\두산퓨얼셀\두산퓨얼셀_336260_events.jsonl,,
003530,한화투자증권,skip_existing,0,0,1986-11-25,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\한화투자증권\한화투자증권_003530_events.jsonl,,
138080,오이솔루션,skip_existing,0,0,2014-02-27,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\오이솔루션\오이솔루션_138080_events.jsonl,,
247540,에코프로비엠,skip_existing,0,0,2019-03-05,0,C:\projects\auto-invest\ai 주가 변동 원인 분석\00_기업별분석\에코프로비엠\에코프로비엠_247540_events.jsonl,,
