signal_date,ticker,name,pattern_id,pattern_name,category,prediction_direction,confidence,basis,signal_open,signal_high,signal_low,signal_close,signal_volume,signal_trade_amount,next_trading_day,next_close,d_plus_5_close,d_plus_10_close,d_plus_20_close,next_close_return_pct,d_plus_5_return_pct,d_plus_10_return_pct,d_plus_20_return_pct,match_label,review_note
2026-05-07,011790,SKC,bearish_kicker,하락 키커,추세 반전형,down,80,장대 양봉 뒤 하락 갭 장대 음봉,184000,184400,165000,170300,1266825,218390683800,,,,,,,,,,,
2026-05-07,011790,SKC,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,184000,184400,165000,170300,1266825,218390683800,,,,,,,,,,,
2026-05-07,011790,SKC,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,184000,184400,165000,170300,1266825,218390683800,,,,,,,,,,,
2026-05-07,011790,SKC,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,184000,184400,165000,170300,1266825,218390683800,,,,,,,,,,,
2026-05-07,011790,SKC,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,184000,184400,165000,170300,1266825,218390683800,,,,,,,,,,,
2026-05-07,016360,삼성증권,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,147100,147200,141000,143900,560425,80488557950,,,,,,,,,,,
2026-05-07,018880,한온시스템,bearish_engulfing,하락 장악형,추세 반전형,down,80,양봉 몸통을 다음 음봉이 감쌈,5450,5560,4860,4915,24951148,127179279734,,,,,,,,,,,
2026-05-07,018880,한온시스템,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,5450,5560,4860,4915,24951148,127179279734,,,,,,,,,,,
2026-05-07,018880,한온시스템,bearish_counterattack,하락 반격형,추세 반전형,down,65,상승 후 반대 음봉이 전일 종가 부근까지 밀림,5450,5560,4860,4915,24951148,127179279734,,,,,,,,,,,
2026-05-07,018880,한온시스템,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,5450,5560,4860,4915,24951148,127179279734,,,,,,,,,,,
2026-05-07,028050,삼성E&A,single_white_marubozu,마루보즈 양봉,단일 캔들 패턴,up,80,꼬리가 거의 없는 강한 양봉,60000,65900,59800,65900,7629883,485156801600,,,,,,,,,,,
2026-05-07,028050,삼성E&A,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,60000,65900,59800,65900,7629883,485156801600,,,,,,,,,,,
2026-05-07,028050,삼성E&A,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,60000,65900,59800,65900,7629883,485156801600,,,,,,,,,,,
2026-05-07,028050,삼성E&A,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,60000,65900,59800,65900,7629883,485156801600,,,,,,,,,,,
2026-05-07,028260,삼성물산,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,392000,396000,367000,373000,405021,153766953750,,,,,,,,,,,
2026-05-07,028260,삼성물산,bearish_separating_line,하락 갈림길형,추세 지속형,down,65,같은 시가 부근에서 음봉 전환,392000,396000,367000,373000,405021,153766953750,,,,,,,,,,,
2026-05-07,028260,삼성물산,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,392000,396000,367000,373000,405021,153766953750,,,,,,,,,,,
2026-05-07,028260,삼성물산,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,392000,396000,367000,373000,405021,153766953750,,,,,,,,,,,
2026-05-07,032820,우리기술,bullish_harami_cross,상승 십자 잉태형,추세 반전형,up,72,큰 음봉 안에 도지 출현,21450,22550,21250,21450,7015242,154098915200,,,,,,,,,,,
2026-05-07,032820,우리기술,single_cross_doji,십자형,단일 캔들 패턴,neutral,70,위아래 꼬리가 있는 십자형 도지,21450,22550,21250,21450,7015242,154098915200,,,,,,,,,,,
2026-05-07,032820,우리기술,single_doji,도지,단일 캔들 패턴,neutral,65,시가와 종가가 거의 같은 균형 캔들,21450,22550,21250,21450,7015242,154098915200,,,,,,,,,,,
2026-05-07,032820,우리기술,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,21450,22550,21250,21450,7015242,154098915200,,,,,,,,,,,
2026-05-07,034020,두산에너빌리티,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,131400,139200,131200,135000,5077506,690420606550,,,,,,,,,,,
2026-05-07,042700,한미반도체,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,398000,413000,371000,380500,681622,264251906750,,,,,,,,,,,
2026-05-07,047040,대우건설,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,36200,37400,32800,33850,14196529,492501751950,,,,,,,,,,,
2026-05-07,047040,대우건설,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,36200,37400,32800,33850,14196529,492501751950,,,,,,,,,,,
2026-05-07,050890,쏠리드,reversal_shooting_star,유성형,추세 반전형,down,70,상승 흐름 뒤 긴 위꼬리,18460,20900,18120,19160,13168753,260898258165,,,,,,,,,,,
2026-05-07,050890,쏠리드,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,18460,20900,18120,19160,13168753,260898258165,,,,,,,,,,,
2026-05-07,066570,LG전자,bearish_engulfing,하락 장악형,추세 반전형,down,80,양봉 몸통을 다음 음봉이 감쌈,155000,155700,145000,145700,1100664,163562092750,,,,,,,,,,,
2026-05-07,066570,LG전자,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,155000,155700,145000,145700,1100664,163562092750,,,,,,,,,,,
2026-05-07,066570,LG전자,bearish_belt_hold,하락 벨트홀드,추세 반전형,down,72,상승 뒤 고가 부근 시가에서 강하게 하락,155000,155700,145000,145700,1100664,163562092750,,,,,,,,,,,
2026-05-07,066570,LG전자,bearish_counterattack,하락 반격형,추세 반전형,down,65,상승 후 반대 음봉이 전일 종가 부근까지 밀림,155000,155700,145000,145700,1100664,163562092750,,,,,,,,,,,
2026-05-07,066570,LG전자,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,155000,155700,145000,145700,1100664,163562092750,,,,,,,,,,,
2026-05-07,078150,HB테크놀러지,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,4670,4980,4300,4700,37128326,172915335059,,,,,,,,,,,
2026-05-07,078150,HB테크놀러지,single_cross_doji,십자형,단일 캔들 패턴,neutral,70,위아래 꼬리가 있는 십자형 도지,4670,4980,4300,4700,37128326,172915335059,,,,,,,,,,,
2026-05-07,078150,HB테크놀러지,single_long_legged_doji,롱레그드 도지,단일 캔들 패턴,neutral,70,긴 위아래 꼬리를 가진 도지,4670,4980,4300,4700,37128326,172915335059,,,,,,,,,,,
2026-05-07,078150,HB테크놀러지,single_doji,도지,단일 캔들 패턴,neutral,65,시가와 종가가 거의 같은 균형 캔들,4670,4980,4300,4700,37128326,172915335059,,,,,,,,,,,
2026-05-07,078150,HB테크놀러지,single_high_wave,하이웨이브 캔들,단일 캔들 패턴,neutral,65,작은 몸통과 긴 위아래 꼬리로 변동성 확대,4670,4980,4300,4700,37128326,172915335059,,,,,,,,,,,
2026-05-07,078150,HB테크놀러지,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,4670,4980,4300,4700,37128326,172915335059,,,,,,,,,,,
2026-05-07,078150,HB테크놀러지,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,4670,4980,4300,4700,37128326,172915335059,,,,,,,,,,,
2026-05-07,086520,에코프로,bearish_dark_cloud,흑운형,추세 반전형,down,72,전일 양봉 중간 아래로 밀림,161700,165800,158300,159800,1036114,167195580550,,,,,,,,,,,
2026-05-07,086520,에코프로,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,161700,165800,158300,159800,1036114,167195580550,,,,,,,,,,,
2026-05-07,138080,오이솔루션,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,44900,57900,43000,54600,2938597,154960294825,,,,,,,,,,,
2026-05-07,178320,서진시스템,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,60300,71700,60300,68700,3461857,233324817800,,,,,,,,,,,
2026-05-07,203650,드림시큐리티,three_outside_up,쓰리 아웃사이드 업,추세 반전형,up,82,상승 장악형 뒤 추가 상승 확인,3750,4485,3725,4350,63739814,262868523312,,,,,,,,,,,
2026-05-07,203650,드림시큐리티,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,3750,4485,3725,4350,63739814,262868523312,,,,,,,,,,,
2026-05-07,203650,드림시큐리티,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,3750,4485,3725,4350,63739814,262868523312,,,,,,,,,,,
2026-05-07,247540,에코프로비엠,single_cross_doji,십자형,단일 캔들 패턴,neutral,70,위아래 꼬리가 있는 십자형 도지,229500,243500,225500,231000,652352,152293925750,,,,,,,,,,,
2026-05-07,247540,에코프로비엠,single_doji,도지,단일 캔들 패턴,neutral,65,시가와 종가가 거의 같은 균형 캔들,229500,243500,225500,231000,652352,152293925750,,,,,,,,,,,
2026-05-07,247540,에코프로비엠,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,229500,243500,225500,231000,652352,152293925750,,,,,,,,,,,
2026-05-07,247540,에코프로비엠,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,229500,243500,225500,231000,652352,152293925750,,,,,,,,,,,
2026-05-07,267260,HD현대일렉트릭,bearish_dark_cloud,흑운형,추세 반전형,down,72,전일 양봉 중간 아래로 밀림,1417000,1430000,1331000,1356000,96694,132186925500,,,,,,,,,,,
2026-05-07,267260,HD현대일렉트릭,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,1417000,1430000,1331000,1356000,96694,132186925500,,,,,,,,,,,
2026-05-07,298040,효성중공업,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,4598000,4742000,4393000,4455000,36001,162581528000,,,,,,,,,,,
2026-05-07,329180,HD현대중공업,bullish_piercing,상승 관통형,추세 반전형,up,72,전일 음봉 중간 이상 회복,658000,678000,655000,678000,204090,136271900000,,,,,,,,,,,
2026-05-07,329180,HD현대중공업,bullish_counterattack,상승 반격형,추세 반전형,up,65,하락 후 반대 양봉이 전일 종가 부근 회복,658000,678000,655000,678000,204090,136271900000,,,,,,,,,,,
2026-05-07,329180,HD현대중공업,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,658000,678000,655000,678000,204090,136271900000,,,,,,,,,,,
2026-05-07,336260,두산퓨얼셀,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,78200,79400,71500,71900,754035,57072576850,,,,,,,,,,,
2026-05-07,336260,두산퓨얼셀,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,78200,79400,71500,71900,754035,57072576850,,,,,,,,,,,
2026-05-07,005380,현대차,single_high_wave,하이웨이브 캔들,단일 캔들 패턴,neutral,65,작은 몸통과 긴 위아래 꼬리로 변동성 확대,579000,596000,558000,572000,1277445,736631183000,,,,,,,,,,,
2026-05-07,006340,대원전선,bearish_three_line_strike,약세 삼선 반격형,추세 지속형,down,80,3개 음봉 뒤 긴 양봉 반격이 나와도 하락 지속으로 분류,18980,18980,15590,16450,9692402,158853669940,,,,,,,,,,,
2026-05-07,267260,HD현대일렉트릭,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,1417000,1430000,1331000,1363000,99031,135368944500,,,,,,,,,,,
2026-05-07,402340,SK스퀘어,single_long_bear,장대 음봉,단일 캔들 패턴,down,75,최근 평균 몸통 대비 큰 음봉,1101000,1128000,1050000,1055000,438975,474702489500,,,,,,,,,,,
