score_bin,threshold,count,avg_return_pct,win_rate_pct,profit_factor
>= 80%,0.8,1,-17.849223946784925,0.0,
>= 75%,0.75,241,14.172374877191773,50.20746887966805,3.3147553015440834
>= 70%,0.7,241,14.172374877191773,50.20746887966805,3.3147553015440834
>= 68%,0.675,241,14.172374877191773,50.20746887966805,3.3147553015440834
>= 65%,0.65,284,12.3761012772448,52.112676056338024,2.921368604757812
>= 62%,0.625,284,12.3761012772448,52.112676056338024,2.921368604757812
>= 60%,0.6,284,12.3761012772448,52.112676056338024,2.921368604757812
>= 55%,0.55,826,7.513474992916634,50.363196125908,2.3805963268643278
>= 50%,0.5,989,6.7693303800680935,50.96056622851365,2.193521318532845
>= 45%,0.45,989,6.7693303800680935,50.96056622851365,2.193521318532845
>= 40%,0.4,1572,4.7635768719740765,49.93638676844784,1.9280317147145405
