hypothesis_id,market_regime,direction,amount_tag,flow_category,dart_tag,window_category,dominant_followup,action_hint,entry_timing,hold_days_to_test,validation_note
H01,변동성 장세,up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,상승지속,진입 후보,이벤트 발생 다음 거래일 시가/종가 기준 비교 필요,5|10|20,후속 라벨은 결과값이므로 진입 조건에는 포함하지 말 것
H02,변동성 장세,down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,하락후반등,반등 관찰 후보,이벤트 발생 다음 거래일 시가/종가 기준 비교 필요,5|10|20,후속 라벨은 결과값이므로 진입 조건에는 포함하지 말 것
H03,AI/전력기기 테마장,down,거래대금평균상회,수급엇갈림,주변공시부재,누적배경,하락후반등,반등 관찰 후보,이벤트 발생 다음 거래일 시가/종가 기준 비교 필요,5|10|20,후속 라벨은 결과값이므로 진입 조건에는 포함하지 말 것
H04,유동성/저금리 후반장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,상승실패,추격매수 회피 후보,이벤트 발생 다음 거래일 시가/종가 기준 비교 필요,5|10|20,후속 라벨은 결과값이므로 진입 조건에는 포함하지 말 것
H05,금리 인상/긴축장,down,거래대금평균상회,수급엇갈림,주변공시부재,선반영,하락후반등,반등 관찰 후보,이벤트 발생 다음 거래일 시가/종가 기준 비교 필요,5|10|20,후속 라벨은 결과값이므로 진입 조건에는 포함하지 말 것
H06,반도체 반등장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,상승실패,추격매수 회피 후보,이벤트 발생 다음 거래일 시가/종가 기준 비교 필요,5|10|20,후속 라벨은 결과값이므로 진입 조건에는 포함하지 말 것
