hypothesis_id,market_regime,direction,dominant_followup,action_hint,total_events,tested_trades,skipped_events,company_count,avg_raw_return_pct,avg_score_return_pct,median_score_return_pct,hit_rate,worst_score_return_pct,best_score_return_pct,external_review_count,entry_mode,hold_days
H01,변동성 장세,up,상승지속,진입 후보,14,14,0,10,11.686348306440195,11.386348306440196,7.541678813341335,0.7142857142857143,-3.6826638477801317,54.999055613851006,0,next_close,5
H01,변동성 장세,up,상승지속,진입 후보,14,14,0,10,14.740979683164543,14.440979683164542,8.857938404719679,0.7142857142857143,-11.317395888244597,55.838509968520455,0,next_close,10
H01,변동성 장세,up,상승지속,진입 후보,14,13,1,10,21.78969895239935,21.489698952399348,14.635064935064934,0.7692307692307693,-18.908328940432263,167.06621196222454,0,next_close,20
H01,변동성 장세,up,상승지속,진입 후보,14,14,0,10,15.460838963919723,15.16083896391972,10.204811186371698,0.9285714285714286,-0.18974641675854026,54.83626834381551,0,next_open,5
H01,변동성 장세,up,상승지속,진입 후보,14,14,0,10,18.47072160050788,18.170721600507875,11.86570139325006,0.7857142857142857,-7.143267108167772,55.67484276729561,0,next_open,10
H01,변동성 장세,up,상승지속,진입 후보,14,13,1,10,25.68749272329799,25.38749272329799,13.307188703465977,0.8461538461538461,-15.090286975717438,166.7859538784067,0,next_open,20
H02,변동성 장세,down,하락후반등,반등 관찰 후보,13,12,1,11,6.700022012051783,6.400022012051783,3.140713351934599,0.6666666666666666,-9.370714550166603,31.603945111492283,12,next_close,5
H02,변동성 장세,down,하락후반등,반등 관찰 후보,13,12,1,11,16.304994233313575,16.004994233313578,13.739791093507115,0.8333333333333334,-3.669122547204739,49.42776769509982,12,next_close,10
H02,변동성 장세,down,하락후반등,반등 관찰 후보,13,12,1,11,29.370927967148347,29.07092796714835,15.838080187249991,0.75,-6.955844155844159,129.1010889292196,12,next_close,20
H02,변동성 장세,down,하락후반등,반등 관찰 후보,13,12,1,11,10.278420702773602,9.978420702773601,3.3947603468868497,0.8333333333333334,-9.100594132937246,56.316052060737526,12,next_open,5
H02,변동성 장세,down,하락후반등,반등 관찰 후보,13,12,1,11,20.367647732840414,20.067647732840413,14.237720427977006,0.8333333333333334,-3.382064611956925,78.6587852494577,12,next_open,10
H02,변동성 장세,down,하락후반등,반등 관찰 후보,13,12,1,11,34.79202609522427,34.49202609522427,13.750197461563307,0.8333333333333334,-5.6531598513011145,173.88655097613884,12,next_open,20
H03,AI/전력기기 테마장,down,하락후반등,반등 관찰 후보,13,12,1,10,8.453011239697092,8.153011239697095,6.391542288557206,0.75,-10.317889087656528,32.264102564102565,5,next_close,5
