hypothesis_id,market_regime,direction,dominant_followup,action_hint,total_events,tested_trades,skipped_events,company_count,avg_raw_return_pct,avg_score_return_pct,median_score_return_pct,hit_rate,worst_score_return_pct,best_score_return_pct,external_review_count
H02,변동성 장세,down,하락후반등,반등 관찰 후보,13,12,1,11,34.79202609522427,34.49202609522427,13.750197461563307,0.8333333333333334,-5.6531598513011145,173.88655097613884,12
H01,변동성 장세,up,상승지속,진입 후보,14,13,1,10,25.68749272329799,25.38749272329799,13.307188703465977,0.8461538461538461,-15.090286975717438,166.7859538784067,0
H03,AI/전력기기 테마장,down,하락후반등,반등 관찰 후보,13,11,2,10,21.6335423465789,21.333542346578895,2.9467532467532536,0.6363636363636364,-6.883629893238429,124.37532467532468,5
H04,유동성/저금리 후반장,up,상승실패,추격매수 회피 후보,12,9,3,8,-10.419981106821535,10.119981106821534,10.861217587373172,0.8888888888888888,-10.49986216402482,29.71321085133184,9
H06,반도체 반등장,up,상승실패,추격매수 회피 후보,20,15,5,11,-10.028153344094486,9.728153344094489,9.223809523809523,1.0,2.5639618138424862,19.094821547241548,15
H05,금리 인상/긴축장,down,하락후반등,반등 관찰 후보,14,11,3,9,-0.9529985298878464,-1.2529985298878465,-3.2166666666666672,0.45454545454545453,-18.67837837837838,26.623076923076916,4
