hypothesis_id,market_regime,direction,amount_tag,flow_category,dart_tag,window_category,dominant_followup,dominant_rate,event_count,usable_event_count,company_count,avg_event_chg_pct,avg_d1_return,avg_d3_return,avg_d5_return,avg_d10_return,external_review_count,action_hint,d5_positive_rate,d10_positive_rate
H01,변동성 장세,up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,상승지속,0.7857142857142857,14,14,10,9.364705124137796,5.262142857142857,8.970714285714285,16.197142857142858,22.861428571428572,0,진입 후보,0.9285714285714286,0.8571428571428571
H02,변동성 장세,down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,하락후반등,0.7692307692307693,13,13,11,-5.546972714975707,5.126153846153846,11.634615384615385,11.123846153846156,21.78909090909091,13,반등 관찰 후보,0.7692307692307693,0.9090909090909091
H03,AI/전력기기 테마장,down,거래대금평균상회,수급엇갈림,주변공시부재,누적배경,하락후반등,0.75,13,12,10,-3.9930491898089837,1.9383333333333335,5.3475,6.3325,6.953636363636364,5,반등 관찰 후보,0.8333333333333334,0.9090909090909091
H04,유동성/저금리 후반장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,상승실패,0.75,12,12,8,14.15799528754919,-1.964166666666667,-0.9549999999999993,-6.005,-7.623,12,추격매수 회피 후보,0.16666666666666666,0.3
H05,금리 인상/긴축장,down,거래대금평균상회,수급엇갈림,주변공시부재,선반영,하락후반등,0.6923076923076923,14,13,9,-5.457503059938097,1.6521428571428574,1.796153846153846,4.661538461538462,-1.0675,6,반등 관찰 후보,0.6923076923076923,0.5
H06,반도체 반등장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,상승실패,0.65,20,20,11,7.563072299331294,-3.3280000000000003,-6.066,-4.123157894736842,-6.925714285714285,20,추격매수 회피 후보,0.21052631578947367,0.07142857142857142
