condition_count,condition_key,description,train_n,train_ticker_count,train_avg_return_pct,train_median_return_pct,train_win_rate_pct,train_profit_factor,train_worst_return_pct,validation_n,validation_ticker_count,validation_avg_return_pct,validation_median_return_pct,validation_win_rate_pct,validation_profit_factor,validation_worst_return_pct,train_avg_lift_pct,validation_avg_lift_pct,train_win_rate_lift_pct,validation_win_rate_lift_pct,verdict
2,needs_external_review=True & chg_pct<=-10,needs_external_review=True + 당일 하락률 10% 이상,6,6,0.21,-1.53,50.0,1.05,-15.23,27,15,7.58,7.56,74.1,3.49,-24.72,-0.32,6.22,2.8,25.7,DROP_SAMPLE
2,flow_category=수급엇갈림 & window_category=선반영,flow_category=수급엇갈림 + window_category=선반영,78,27,1.01,0.41,53.8,1.44,-23.03,14,12,3.95,3.13,64.3,3.48,-8.59,0.48,2.59,6.6,15.9,DROP_SAMPLE
2,market_regime=변동성 장세 & amount_tag=거래대금약함,market_regime=변동성 장세 + amount_tag=거래대금약함,0,0,,,,,,102,26,4.46,0.09,52.9,3.08,-15.79,,3.1,,4.5,DROP_SAMPLE
2,amount_tag=거래대금평균상회 & window_category=선반영,amount_tag=거래대금평균상회 + window_category=선반영,36,19,1.05,1.12,63.9,1.69,-10.75,9,9,2.63,4.6,77.8,3.03,-7.31,0.52,1.27,16.7,29.4,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & window_category=누적배경,market_regime=AI/전력기기 테마장 + window_category=누적배경,0,0,,,,,,28,17,4.9,3.63,64.3,2.84,-18.46,,3.54,,15.9,DROP_SAMPLE
2,window_category=선반영 & needs_external_review=False,window_category=선반영 + needs_external_review=False,20,15,1.04,0.85,60.0,1.68,-7.05,6,6,2.18,3.69,83.3,2.79,-7.31,0.51,0.82,12.8,34.9,DROP_SAMPLE
2,flow_category=외국인기관동반매도 & chg_pct<=-10,flow_category=외국인기관동반매도 + 당일 하락률 10% 이상,13,10,0.28,1.37,53.8,1.14,-11.15,16,13,4.78,0.87,56.2,2.78,-9.39,-0.25,3.42,6.6,7.8,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & window_category=선반영,market_regime=AI/전력기기 테마장 + window_category=선반영,0,0,,,,,,17,14,3.42,1.96,70.6,2.78,-11.13,,2.06,,22.2,DROP_SAMPLE
2,window_category=누적배경 & chg_pct<=-5,window_category=누적배경 + 당일 하락률 5% 이상,14,10,3.52,2.15,64.3,2.73,-11.61,16,9,4.71,3.26,56.2,2.6,-13.26,2.99,3.35,17.1,7.8,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & flow_category=외국인기관동반매수,market_regime=AI/전력기기 테마장 + flow_category=외국인기관동반매수,0,0,,,,,,77,28,3.6,3.18,67.5,2.39,-42.2,,2.24,,19.1,DROP_SAMPLE
2,market_regime=변동성 장세 & flow_category=수급엇갈림,market_regime=변동성 장세 + flow_category=수급엇갈림,0,0,,,,,,108,25,3.32,0.26,51.9,2.37,-14.32,,1.96,,3.5,DROP_SAMPLE
2,market_regime=변동성 장세 & chg_pct<=-5,market_regime=변동성 장세 + 당일 하락률 5% 이상,0,0,,,,,,90,25,3.92,-0.24,48.9,2.35,-14.32,,2.56,,0.5,DROP_SAMPLE
2,market_regime=변동성 장세 & chg_pct<=-3,market_regime=변동성 장세 + 당일 하락률 3% 이상,0,0,,,,,,152,26,3.37,0.4,52.6,2.35,-14.32,,2.01,,4.2,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & needs_external_review=True,market_regime=AI/전력기기 테마장 + needs_external_review=True,0,0,,,,,,160,33,3.27,2.13,63.7,2.34,-42.2,,1.91,,15.3,DROP_SAMPLE
2,dart_tag=주변공시부재 & chg_pct<=-10,dart_tag=주변공시부재 + 당일 하락률 10% 이상,5,5,-3.27,-2.1,40.0,0.52,-16.48,15,12,3.66,7.56,80.0,2.3,-24.72,-3.8,2.3,-7.2,31.6,DROP_SAMPLE
1,market_regime=변동성 장세,market_regime=변동성 장세,0,0,,,,,,170,26,2.93,-0.13,49.4,2.19,-14.32,,1.57,,1.0,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & chg_pct<=-10,market_regime=AI/전력기기 테마장 + 당일 하락률 10% 이상,0,0,,,,,,37,22,4.27,4.72,64.9,2.14,-33.05,,2.91,,16.5,DROP_SAMPLE
