hypothesis_id,use_type,sample_count,completed_count,positive_label_count,negative_label_count,neutral_label_count,result_label_distribution,next_close_count,next_close_avg_return_pct,next_close_median_return_pct,next_close_positive_rate_pct,d_plus_5_count,d_plus_5_avg_return_pct,d_plus_5_median_return_pct,d_plus_5_positive_rate_pct,d_plus_10_count,d_plus_10_avg_return_pct,d_plus_10_median_return_pct,d_plus_10_positive_rate_pct,d_plus_20_count,d_plus_20_avg_return_pct,d_plus_20_median_return_pct,d_plus_20_positive_rate_pct,result_status
H01,매수 후보,22,22,8,12,2,"상승 실패 12, 상승 지속 6, 단기 되돌림 2, 상승 유지 2",22,-0.93,-1.5,27.3,21,-3.26,-0.54,47.6,6,-11.05,-13.86,16.7,1,-17.26,-17.26,0.0,검토 가능
H02,반등 감시 후보,54,48,9,28,11,"반등 실패 28, 반등 중립 11, 단기 반등 5, 반등 성공 4",48,-1.75,-2.51,33.3,34,-1.89,-4.27,32.4,16,-8.29,-10.98,25.0,2,22.73,22.73,50.0,검토 가능
