hypothesis_id,market_regime,direction,dominant_followup,action_hint,total_events,tested_trades,skipped_events,company_count,avg_raw_return_pct,avg_score_return_pct,median_score_return_pct,hit_rate,worst_score_return_pct,best_score_return_pct,external_review_count,entry_mode,hold_days
H01,변동성 장세,up,상승지속,진입 후보,10,2,8,2,9.095070184627406,8.795070184627406,8.795070184627406,1.0,3.9698548249359593,13.620285544318854,2,next_close,5
H01,변동성 장세,up,상승지속,진입 후보,10,2,8,2,23.960083334561034,23.660083334561037,23.660083334561037,1.0,11.570196413321941,35.74997025580013,2,next_close,10
H01,변동성 장세,up,상승지속,진입 후보,10,1,9,1,23.557406305770368,23.257406305770367,23.257406305770367,1.0,23.257406305770367,23.257406305770367,1,next_close,20
H01,변동성 장세,up,상승지속,진입 후보,10,2,8,2,23.124351589476774,22.824351589476777,22.824351589476777,1.0,14.233492822966497,31.415210355987053,2,next_open,5
H01,변동성 장세,up,상승지속,진입 후보,10,2,8,2,39.049185002813005,38.74918500281301,38.74918500281301,1.0,36.48229665071771,41.0160733549083,2,next_open,10
H01,변동성 장세,up,상승지속,진입 후보,10,1,9,1,24.22248803827751,23.92248803827751,23.92248803827751,1.0,23.92248803827751,23.92248803827751,1,next_open,20
H02,변동성 장세,down,하락후반등,반등 관찰 후보,16,3,13,2,7.92023884085257,7.620238840852569,6.105693950177938,1.0,1.8844660194174858,14.870556552962288,0,next_close,5
H02,변동성 장세,down,하락후반등,반등 관찰 후보,16,3,13,2,26.796796042689238,26.49679604268924,26.15631067961165,1.0,11.443772241992878,41.89030520646319,0,next_close,10
H02,변동성 장세,down,하락후반등,반등 관찰 후보,16,3,13,2,27.62676316703544,27.32676316703544,23.308617594254944,1.0,0.2338078291814874,58.4378640776699,0,next_close,20
H02,변동성 장세,down,하락후반등,반등 관찰 후보,16,3,13,2,5.882885943848819,5.582885943848818,2.272898799313883,1.0,2.1330900243308974,12.342669007901673,0,next_open,5
H02,변동성 장세,down,하락후반등,반등 관찰 후보,16,3,13,2,24.517348584166637,24.21734858416664,26.46399026763989,1.0,7.418696397941671,38.76935908691836,0,next_open,10
H02,변동성 장세,down,하락후반등,반등 관찰 후보,16,3,13,2,25.64404380670797,25.34404380670797,20.595522388059695,0.6666666666666666,-3.3874785591766705,58.82408759124088,0,next_open,20
H03,유동성/저금리 후반장,up,상승실패,추격매수 회피 후보,15,10,5,8,-3.6367701785343556,3.3367701785343558,3.851344541123664,0.9,-3.1554513161490156,7.764516129032262,10,next_close,5
H03,유동성/저금리 후반장,up,상승실패,추격매수 회피 후보,15,10,5,8,-5.913609518478497,5.613609518478497,5.19863148119969,0.8,-6.234055924947623,13.336363636363634,10,next_close,10
H03,유동성/저금리 후반장,up,상승실패,추격매수 회피 후보,15,9,6,8,-7.746642648978041,7.446642648978038,9.108602150537637,0.7777777777777778,-9.531259677566261,18.618918918918915,9,next_close,20
H03,유동성/저금리 후반장,up,상승실패,추격매수 회피 후보,15,10,5,8,-6.808305147975783,6.508305147975781,6.872295994668503,0.8,-4.067516655180336,18.158324372484557,10,next_open,5
H03,유동성/저금리 후반장,up,상승실패,추격매수 회피 후보,15,10,5,8,-8.984325847320834,8.684325847320833,10.075218150087256,0.8,-7.173420629450955,19.620734892008972,10,next_open,10
H03,유동성/저금리 후반장,up,상승실패,추격매수 회피 후보,15,9,6,8,-10.419981106821535,10.119981106821534,10.861217587373172,0.8888888888888888,-10.49986216402482,29.71321085133184,9,next_open,20
H04,금리 인상/긴축장,up,상승실패,추격매수 회피 후보,31,11,20,7,-4.018115022723172,3.718115022723171,6.290822422778697,0.6363636363636364,-11.063888888888885,17.24297269969667,10,next_close,5
H04,금리 인상/긴축장,up,상승실패,추격매수 회피 후보,31,10,21,7,-1.3827328034186075,1.0827328034186077,4.287928920727135,0.6,-20.091666666666676,19.062992922143582,9,next_close,10
H04,금리 인상/긴축장,up,상승실패,추격매수 회피 후보,31,10,21,7,-0.15963143013456751,-0.14036856986543392,10.483511923867816,0.6,-29.513483146067422,21.388574317492413,9,next_close,20
