hypothesis_id,event_id,ticker,name,quarter,date,direction,chg_pct,trade_amount,trade_amount_eok,amount_tag,flow_category,flow_tags,dart_tag,window_category,window_types,leading_signal,followup,has_usable_followup,needs_external_review,external_review_trigger,market_regime,source_file,dominant_followup,dominant_rate,usable_event_count,company_count,d1_return,d3_return,d5_return,d10_return,action_hint,entry_mode,hold_days,fee_bps,status,skip_reason,side,entry_date,exit_date,entry_price,exit_price,raw_return_pct,score_return_pct
H03,001440_2021_Q3_2021-08-05_up,001440,대한전선,2021_Q3,2021-08-05,up,9.441027012570212,444847993690.0,4448.4799369,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,유동성/저금리 후반장,00_기업별분석\대한전선\대한전선_2021_Q3_events.jsonl,상승실패,0.7333333333333333,15,11,-3.52,-8.1,-5.81,-17.78,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2021-08-06,2021-09-06,24596.0,22564.0,-8.26150593592454,7.9615059359245395
H03,086520_2021_Q3_2021-08-09_up,086520,에코프로,2021_Q3,2021-08-09,up,29.944873208379263,383626410400.0,3836.264104,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,단기되돌림,True,True,B,유동성/저금리 후반장,00_기업별분석\에코프로\에코프로_2021_Q3_events.jsonl,상승실패,0.7333333333333333,15,11,3.07,14.06,-0.63,0.63,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2021-08-10,2021-09-08,18259.0,17324.0,-5.120762363765818,4.820762363765819
H03,298380_2021_Q3_2021-09-02_up,298380,에이비엘바이오,2021_Q3,2021-09-02,up,9.178743961352652,52532472400.0,525.324724,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,유동성/저금리 후반장,00_기업별분석\에이비엘바이오\에이비엘바이오_2021_Q3_events.jsonl,상승실패,0.7333333333333333,15,11,-4.42,-3.32,-8.63,-14.16,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2021-09-03,2021-10-07,22500.0,18950.0,-15.777777777777779,15.477777777777778
H03,066570_2021_Q3_2021-09-03_up,066570,LG전자,2021_Q3,2021-09-03,up,10.035842293906816,601973982000.0,6019.73982,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,유동성/저금리 후반장,00_기업별분석\LG전자\LG전자_2021_Q3_events.jsonl,상승실패,0.7333333333333333,15,11,-3.58,-6.19,-4.56,-9.12,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2021-09-06,2021-10-08,151000.0,120000.0,-20.529801324503318,20.229801324503317
H03,402340_2021_Q4_2021-12-02_up,402340,SK스퀘어,2021_Q4,2021-12-02,up,9.569377990430628,495532935300.0,4955.329353,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,유동성/저금리 후반장,00_기업별분석\SK스퀘어\SK스퀘어_2021_Q4_events.jsonl,상승실패,0.7333333333333333,15,11,-3.93,-4.51,-5.24,-17.9,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2021-12-03,2022-01-03,67400.0,66500.0,-1.3353115727002929,1.0353115727002928
H04,402340_2022_Q1_2022-01-04_up,402340,SK스퀘어,2022_Q1,2022-01-04,up,5.263157894736836,217897361900.0,2178.973619,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,금리 인상/긴축장,00_기업별분석\SK스퀘어\SK스퀘어_2022_Q1_events.jsonl,상승실패,0.7142857142857143,28,17,-3.43,-12.86,-18.29,-10.14,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2022-01-05,2022-02-07,69700.0,58200.0,-16.499282639885227,16.199282639885226
H04,001440_2022_Q1_2022-01-12_up,001440,대한전선,2022_Q1,2022-01-12,up,11.338995925695738,139771128525.0,1397.71128525,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,금리 인상/긴축장,00_기업별분석\대한전선\대한전선_2022_Q1_events.jsonl,상승실패,0.7142857142857143,28,17,-2.41,-9.12,-10.72,-5.63,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2022-01-13,2022-02-15,16037.0,12672.0,-20.98272744278855,20.68272744278855
H04,024060_2022_Q1_2022-02-14_up,024060,흥구석유,2022_Q1,2022-02-14,up,8.93561103810776,96570937100.0,965.709371,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,True,B,금리 인상/긴축장,00_기업별분석\흥구석유\흥구석유_2022_Q1_events.jsonl,상승실패,0.7142857142857143,28,17,-7.72,-7.72,-8.93,15.08,추격매수 회피 후보,next_open,20.0,15.0,skip,ohlcv_cache_missing,,,,,,,
H04,024060_2022_Q1_2022-03-02_up,024060,흥구석유,2022_Q1,2022-03-02,up,10.58700209643606,164277746210.0,1642.7774621,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,False,,금리 인상/긴축장,00_기업별분석\흥구석유\흥구석유_2022_Q1_events.jsonl,상승실패,0.7142857142857143,28,17,-1.42,-1.42,-12.04,-22.37,추격매수 회피 후보,next_open,20.0,15.0,skip,ohlcv_cache_missing,,,,,,,
H04,025860_2022_Q1_2022-03-07_up,025860,남해화학,2022_Q1,2022-03-07,up,5.714285714285716,37780127750.0,377.8012775,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,True,B,금리 인상/긴축장,00_기업별분석\남해화학\남해화학_2022_Q1_events.jsonl,상승실패,0.7142857142857143,28,17,-7.21,-10.99,-10.63,0.45,추격매수 회피 후보,next_open,20.0,15.0,skip,ohlcv_cache_missing,,,,,,,
