feature,description,up_mean,up_std,up_n,down_mean,down_std,down_n,mean_diff,diff_abs
stoch_k,스토캐스틱 %K,46.78239405025218,29.897838221052538,79,49.419570245424,27.211944662416414,103,-2.6371761951718184,2.6371761951718184
rsi,RSI(14),56.93836684341457,16.863067638517222,79,56.24745169077191,15.71143204020989,103,0.6909151526426598,0.6909151526426598
price_vs_ma120,종가 vs MA120 비율,0.6798831022999,0.8929642866487433,74,0.42840833899263137,0.9120285444458791,103,0.25147476330726865,0.25147476330726865
bb_position,볼린저밴드 위치 (종가/상단),0.8595729553625103,0.14388186205154405,79,0.9512797474328596,0.1446537391687009,103,-0.09170679207034926,0.09170679207034926
price_vs_ma20,종가 vs MA20 비율,0.04619002996674721,0.1872724214935079,79,0.13564347270457908,0.6338276562565388,103,-0.08945344273783187,0.08945344273783187
price_vs_ma60,종가 vs MA60 비율,0.3375145195992527,0.5441391979960934,79,0.25002629455979497,0.8297372214848084,103,0.08748822503945775,0.08748822503945775
obv_rising,OBV 상승 추세,0.5443037974683544,0.5012156594651516,79,0.46601941747572817,0.5012833330676595,103,0.07828437999262627,0.07828437999262627
price_vs_ma5,종가 vs MA5 비율,0.003773479808305979,0.06529906421595827,79,0.06968819383517202,0.31246766176471874,103,-0.06591471402686605,0.06591471402686605
macd_cross_up,MACD 골든크로스,0.06329113924050633,0.2450417103112758,79,0.11650485436893204,0.3223982093132046,103,-0.05321371512842571,0.05321371512842571
ma_align_short,단기 정배열 (MA5>MA20>MA60),0.4936708860759494,0.5031546054266277,79,0.44660194174757284,0.499571489708456,103,0.04706894432837655,0.04706894432837655
fib_support,피보나치 지지선 근처,0.31645569620253167,0.4680648595607224,79,0.3592233009708738,0.4821188717635574,103,-0.04276760476834213,0.04276760476834213
bb_squeeze,볼린저밴드 수축,0.6329113924050633,0.4850909296170712,79,0.5922330097087378,0.4938224894195677,103,0.04067838269632551,0.04067838269632551
vol_ratio,거래량 / 20일 평균,1.0487104151059905,0.7789770629056535,75,1.0768912516027709,0.6445727465730224,103,-0.02818083649678038,0.02818083649678038
macd_hist_norm,MACD 히스토그램 (종가 정규화),-0.007138914629406876,0.02250641889505,79,0.0012543157877259626,0.016529584480639174,103,-0.008393230417132838,0.008393230417132838
price_vs_ma240,종가 vs MA240 비율,,,0,,,2,,
ma_align_long,장기 정배열 (MA60>MA120>MA240),,,0,,,2,,
